mode,accuracy,balanced_accuracy,macro_f1,inside_accuracy,outside_accuracy,near_accuracy,overgeneralization_rate,unnecessary_clarification_rate,twin_exact_match,twin_discrimination_accuracy,n_examples
gold_memory_llm,0.625,0.6250000000000001,0.6004021330535886,1.0,0.2916666666666667,0.5833333333333334,0.5833333333333334,0.0625,0.6666666666666666,0.6666666666666666,72
rule_memory_llm,0.7083333333333334,0.7083333333333334,0.6844532279314888,1.0,0.3333333333333333,0.7916666666666666,0.5416666666666666,0.0625,1.0,1.0,72
llm_memory_rule,0.6666666666666666,0.6666666666666666,0.6534647757408049,0.8333333333333334,0.375,0.7916666666666666,0.125,0.3333333333333333,0.3333333333333333,0.6666666666666666,72
full_llm,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72
