model,accuracy,balanced_accuracy,macro_f1,inside_accuracy,outside_accuracy,near_accuracy,overgeneralization_rate,unnecessary_clarification_rate,twin_exact_match,twin_discrimination_accuracy,different_gold_twin_pairs,n_examples
Flat Fact Memory,0.6666666666666666,0.3333333333333333,0.26666666666666666,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,384,1152
Query-Only TF-IDF,0.6354166666666666,0.52734375,0.5101168042177326,0.7434895833333334,0.17708333333333334,0.6614583333333334,0.8229166666666666,0.13229166666666667,0.3020833333333333,0.0,384,1152
Raw Long-Context TF-IDF,0.7951388888888888,0.8402777777777777,0.7802151020541825,0.75,0.9791666666666666,0.7916666666666666,0.0,0.007291666666666667,0.5902777777777778,1.0,384,1152
FrontierMem-Lite (Rules),0.9713541666666666,0.95703125,0.9547838731479948,0.9856770833333334,0.9427083333333334,0.9427083333333334,0.0,0.019791666666666666,0.9427083333333334,0.9817708333333334,384,1152
