model,accuracy,balanced_accuracy,macro_f1,inside_accuracy,outside_accuracy,near_accuracy,overgeneralization_rate,unnecessary_clarification_rate,twin_exact_match,twin_discrimination_accuracy,num_twin_pairs,num_discriminative_pairs
Flat Fact Memory,0.6779336734693877,0.3333333333333333,0.2693525909033321,1.0,0.0,0.0,1.0,0.0,0.35586734693877553,0.0,784,505
Query-Only TF-IDF,0.5911989795918368,0.3860444081310381,0.3732043268136654,0.7836312323612418,0.0,0.3745019920318725,1.0,0.09719058466211086,0.26913265306122447,0.0,784,505
Raw Long-Context TF-IDF,0.8163265306122449,0.8357814633471851,0.7710295592982376,0.7986829727187206,0.7086614173228346,1.0,0.13385826771653545,0.0926347760060744,0.6326530612244898,0.8534653465346534,784,505
FrontierMem-Lite,0.9470663265306123,0.8944594212980744,0.9201143973871245,0.9962370649106302,0.84251968503937,0.8446215139442231,0.09055118110236221,0.015945330296127564,0.8941326530612245,0.8435643564356435,784,505
