model,accuracy,balanced_accuracy,macro_f1,inside_accuracy,outside_accuracy,near_accuracy,overgeneralization_rate,unnecessary_clarification_rate,twin_exact_match,twin_discrimination_accuracy,num_twin_pairs,num_discriminative_pairs
Flat Fact Memory,0.6666666666666666,0.3333333333333333,0.26666666666666666,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,576,384
Query-Only TF-IDF,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5,1.0,1.0,0.0,0.2,0.3333333333333333,0.0,576,384
Raw Long-Context TF-IDF,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,576,384
FrontierMem-Lite,0.9565972222222222,0.9223090277777778,0.9390456317729541,0.9908854166666666,0.8958333333333334,0.8802083333333334,0.0625,0.015625,0.9131944444444444,0.8880208333333334,576,384
