model,accuracy,balanced_accuracy,macro_f1,inside_accuracy,outside_accuracy,near_accuracy,overgeneralization_rate,unnecessary_clarification_rate,twin_exact_match,twin_discrimination_accuracy,different_gold_twin_pairs,n_examples
Tiny Transformer LM (end-to-end heads),0.6649305555555556,0.34418402777777785,0.2957295250244911,0.9856770833333334,0.03125,0.015625,0.9635416666666666,0.004166666666666667,0.3333333333333333,0.057291666666666664,384,1152
Tiny Transformer Memory + Rule Policy,0.9366319444444444,0.8980034722222222,0.9092950395996698,0.9752604166666666,0.859375,0.859375,0.08333333333333333,0.023958333333333335,0.8802083333333334,0.8958333333333334,384,1152
